comune,codice_istat,provincia,positivi,positivi_per_1000_abitanti
Mombasiglio,004125,Cuneo,2,3.28
Mombello Di Torino,001153,Torino,3,7.69
Mombello Monferrato,006097,Alessandria,0,0.0
Mombercelli,005066,Asti,11,5.12
Momo,003100,Novara,6,2.41
Mompantero,001154,Torino,1,1.54
Momperone,006098,Alessandria,0,0.0
Monale,005067,Asti,3,2.99
Monastero Bormida,005068,Asti,9,9.81
Monastero Di Lanzo,001155,Torino,0,0.0
Monastero Di Vasco,004126,Cuneo,3,2.32
Monasterolo Casotto,004127,Cuneo,0,0.0
Monasterolo Di Savigliano,004128,Cuneo,7,5.06
Moncalieri,001156,Torino,252,4.38
Moncalvo,005069,Asti,2,0.7
Moncenisio,001157,Torino,0,0.0
Moncestino,006099,Alessandria,0,0.0
Monchiero,004129,Cuneo,0,0.0
Moncrivello,002079,Vercelli,6,4.3
Moncucco Torinese,005070,Asti,4,4.49
Mondovi',004130,Cuneo,124,5.53
Monesiglio,004131,Cuneo,0,0.0
Monforte D'Alba,004132,Cuneo,7,3.51
Mongardino,005071,Asti,1,1.12
Mongiardino Ligure,006100,Alessandria,0,0.0
Mongrando,096035,Biella,4,1.05
Monleale,006101,Alessandria,0,0.0
Monta',004133,Cuneo,8,1.7
Montabone,005072,Asti,0,0.0
Montacuto,006102,Alessandria,0,0.0
Montafia,005073,Asti,7,7.44
Montaldeo,006103,Alessandria,0,0.0
Montaldo Bormida,006104,Alessandria,2,3.14
Montaldo Di Mondovi',004134,Cuneo,1,1.8
